Net Status Report
Filename     : C:\Users\Kuba\Documents\PCB\iot-gateway\iot-gateway.PcbDoc
Date         : 24.02.2018
Time         : 13:48:24
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetC36_1_U_ISM_0_2, Signal Layers Only, 96.743mils
    NetC36_1_U_ISM_1_2, Signal Layers Only, 91.907mils
    NetC36_1_U_ISM_2_2, Signal Layers Only, 93.936mils
    NetC36_1_U_ISM_3_2, Signal Layers Only, 91.078mils
    NetC36_2, Signal Layers Only, 608.845mils
    NetC37_2, Signal Layers Only, 441.276mils
    NetC38_1_U_ISM_0_1, Signal Layers Only, 300.263mils
    NetC38_1_U_ISM_1_1, Signal Layers Only, 275.687mils
    NetC38_1_U_ISM_2_1, Signal Layers Only, 297.068mils
    NetC38_1_U_ISM_3_1, Signal Layers Only, 279.41mils
    NetC39_1_U_ISM_0_1, Signal Layers Only, 172.632mils
    NetC39_1_U_ISM_1_1, Signal Layers Only, 130.867mils
    NetC39_1_U_ISM_2_1, Signal Layers Only, 191.558mils
    NetC39_1_U_ISM_3_1, Signal Layers Only, 170.717mils
    NetC41_1_U_ISM_0_2, Signal Layers Only, 84.439mils
    NetC41_1_U_ISM_1_2, Signal Layers Only, 74.903mils
    NetC41_1_U_ISM_2_2, Signal Layers Only, 84.439mils
    NetC41_1_U_ISM_3_2, Signal Layers Only, 66.929mils
    NetC42_1_U_ISM_0_1, Signal Layers Only, 95.484mils
    NetC42_1_U_ISM_1_1, Signal Layers Only, 110.504mils
    NetC42_1_U_ISM_2_1, Signal Layers Only, 99.559mils
    NetC42_1_U_ISM_3_1, Signal Layers Only, 110.504mils
    NetC43_1_U_ISM_0_1, Signal Layers Only, 80.445mils
    NetC43_1_U_ISM_1_1, Signal Layers Only, 99.63mils
    NetC43_1_U_ISM_2_1, Signal Layers Only, 80.445mils
    NetC43_1_U_ISM_3_1, Signal Layers Only, 99.63mils
    NetC44_1_U_ISM_0_2, Signal Layers Only, 170.331mils
    NetC44_1_U_ISM_1_2, Signal Layers Only, 263.623mils
    NetC44_1_U_ISM_2_2, Signal Layers Only, 137.85mils
    NetC44_1_U_ISM_3_2, Signal Layers Only, 282.564mils
    NetC45_1_U_ISM_0_1, Signal Layers Only, 253.43mils
    NetC45_1_U_ISM_1_1, Signal Layers Only, 312.152mils
    NetC45_1_U_ISM_2_1, Signal Layers Only, 225.503mils
